"genus" "species"
"183" "Magallana" "gigas"
"184" "Maja" "brachydactyla"
"185" "Maja" "squinado"
"186" "Marthasterias" "glacialis"
"187" "Macropipus" "tuberculatus"
"188" "Macrotritopus" "defilippi"
"189" "Meganyctiphanes" "norvegica"
"190" "Mesothuria" "intestinalis"
"191" "Metridium" "dianthus"
"192" "Mimachlamys" "varia"
"193" "Modiolus" "barbatus"
"194" "Molpadiodemas" "villosus"
"195" "Monodaeus" "couchii"
"196" "Munida" "intermedia"
"197" "Munida" "rugosa"
"198" "Munida" "rutllanti"
"199" "Mytilus" "edulis"
"200" "Necora" "puber"
"201" "Nemertesia" "antennina"
"202" "Nemertesia" "ramosa"
"203" "Neomenia" "carinata"
"204" "Neopycnodonte" "cochlear"
"205" "Neorossia" "caroli"
"206" "Nephrops" "norvegicus"
"207" "Neptunea" "antiqua"
"208" "Nucula" "nitidosa"
"209" "Nymphaster" "arenatus"
"210" "Ocenebra" "erinaceus"
"211" "Octopus" "salutii"
"212" "Octopus" "vulgaris"
"213" "Odontaster" "mediterraneus"
"214" "Oestergrenia" "digitata"
"215" "Ophiacantha" "brevispina"
"216" "Ophiacantha" "setosa"
"217" "Ophiocomina" "nigra"
"218" "Ophiothrix" "fragilis"
"219" "Ophiothrix" "luetkeni"
"220" "Ophiopholis" "aculeata"
"221" "Ophiura" "albida"
"222" "Ophiura" "ophiura"
"223" "Ophiocten" "affinis"
"224" "Opisthoteuthis" "calypso"
"225" "Ostrea" "edulis"
"226" "Owenia" "fusiformis"
"227" "Pagurus" "alatus"
"228" "Pagurus" "bernhardus"
"229" "Pagurus" "carneus"
"230" "Pagurus" "cuanensis"
"231" "Pagurus" "excavatus"
"232" "Pagurus" "forbesii"
"233" "Pagurus" "prideaux"
"234" "Pagurus" "pubescentulus"
"235" "Palinurus" "elephas"
"236" "Palinurus" "mauritanicus"
"237" "Palliolum" "tigerinum"
"238" "Palaemon" "longirostris"
"239" "Palaemon" "serratus"
"240" "Pandalina" "brevirostris"
"241" "Pandalus" "montagui"
"242" "Parapenaeus" "longirostris"
"243" "Paromola" "cuvieri"
"244" "Pasiphaea" "multidentata"
"245" "Pasiphaea" "sivado"
"246" "Pasiphaea" "tarda"
"247" "Pseudarchaster" "gracilis"
"248" "Pecten" "maximus"
"249" "Pelagia" "noctiluca"
"250" "Peltaster" "placenta"
"251" "Pennatula" "phosphorea"
"252" "Pentapora" "fascialis"
"253" "Periphylla" "periphylla"
"254" "Phakellia" "ventilabrum"
"255" "Phascolion" "(Phascolion) strombus"
"256" "Philocheras" "echinulatus"
"257" "Philine" "aperta"
"258" "Phallusia" "mammillata"
"259" "Phronima" "sedentaria"
"260" "Pilumnus" "hirtellus"
"261" "Pisa" "tetraodon"
"262" "Pisidia" "longicornis"
"263" "Pleurobranchus" "membranaceus"
"264" "Pleurobrachia" "pileus"
"265" "Plesionika" "heterocarpus"
"266" "Plesionika" "martia"
"267" "Pododesmus" "squama"
"268" "Polybius" "henslowii"
"269" "Polycheles" "typhlops"
"270" "Polititapes" "rhomboides"
"271" "Pontophilus" "norvegicus"
"272" "Pontophilus" "spinosus"
"273" "Porella" "compressa"
"274" "Porania" "(Porania) pulvillus"
"275" "Porania" "(Porania) pulvillus"
"276" "Portumnus" "latipes"
"277" "Polyplumaria" "flabellata"
"278" "Processa" "canaliculata"
"279" "Processa" "elegantula"
"280" "Processa" "nouveli"
"281" "Parapagurus" "pilosimanus"
"282" "Parastichopus" "regalis"
"283" "Parastichopus" "tremulus"
"284" "Pteroeides" "griseum"
"285" "Psammechinus" "miliaris"
"286" "Pseudamussium" "clavatum"
"287" "Pseudamussium" "peslutrae"
"288" "Psolus" "phantapus"
"289" "Pteraster" "pulvillus"
"290" "Pteria" "hirundo"
"291" "Pycnogonum" "litorale"
"292" "Ranella" "olearium"
"293" "Reteporella" "grimaldii"
"294" "Rhizostoma" "octopus"
"295" "Rhizostoma" "pulmo"
"296" "Rissoides" "desmaresti"
"297" "Rochinia" "carpenteri"
"298" "Rondeletiola" "minor"
"299" "Rostanga" "rubra"
"300" "Rossia" "macrosoma"
"301" "Rossia" "palpebrosa"
"302" "Salpa" "maxima"
"303" "Scaeurgus" "unicirrhus"
"304" "Scaphander" "lignarius"
"305" "Scalpellum" "scalpellum"
"306" "Schizotricha" "frutescens"
"307" "Scyllarus" "arctus"
"308" "Securiflustra" "securifrons"
"309" "Sepietta" "neglecta"
"310" "Sepietta" "oweniana"
"311" "Sepia" "elegans"
"312" "Sepia" "officinalis"
"313" "Sepia" "orbignyana"
"314" "Sepiola" "atlantica"
"315" "Sepiola" "ligulata"
"316" "Sepiola" "pfefferi"
"317" "Sepiola" "tridens"
"318" "Sertularella" "gayi"
"319" "Sertularella" "tenella"
"320" "Sergestes" "arachnipodus"
"321" "Sertularia" "cupressina"
"322" "Sipunculus" "(Sipunculus) nudus"
"323" "Soestia" "zonaria"
"324" "Solmissus" "albescens"
"325" "Solenocera" "membranacea"
"326" "Spatangus" "purpureus"
"327" "Spatangus" "raschi"
"328" "Sphaerechinus" "granularis"
"329" "Spiochaetopterus" "costarum"
"330" "Spisula" "elliptica"
"331" "Spisula" "solida"
"332" "Spirontocaris" "liljeborgii"
